carrier_id,carrier,scac,fleet_universe_count,vessel_name,imo,flag,call_sign,mmsi,teu,dwt,gross_tonnage,net_tonnage,loa_m,beam_m,year_built,shipyard,registered_owner,beneficial_owner,commercial_operator,technical_manager,fuel_propulsion,relationship_basis,deployment_origin,deployment_destination,deployment_departure,deployment_arrival,source_url,source_type,verified_as_of,notes
COMP_XPRESS,X-Press Feeders,XPRESS,84,GOLDEN STAR 1,8952857,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Johor Port,Singapore,2026-08-27,2026-08-28,https://www.fluentcargo.com/carriers/x-press-feeders,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
COMP_XPRESS,X-Press Feeders,XPRESS,84,SKY LIGHT,9118513,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,La Guaira,Cartagena,2026-08-27,2026-08-29,https://www.fluentcargo.com/carriers/x-press-feeders,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
COMP_XPRESS,X-Press Feeders,XPRESS,84,TROUPER,9326952,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Las Palmas,Santa Cruz de Tenerife,2026-08-27,2026-08-27,https://www.fluentcargo.com/carriers/x-press-feeders,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
COMP_XPRESS,X-Press Feeders,XPRESS,84,X PRESS ANGLESEY,9623843,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Singapore,Laem Chabang,2026-08-27,2026-08-30,https://www.fluentcargo.com/carriers/x-press-feeders,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
