carrier_id,carrier,scac,fleet_universe_count,vessel_name,imo,flag,call_sign,mmsi,teu,dwt,gross_tonnage,net_tonnage,loa_m,beam_m,year_built,shipyard,registered_owner,beneficial_owner,commercial_operator,technical_manager,fuel_propulsion,relationship_basis,deployment_origin,deployment_destination,deployment_departure,deployment_arrival,source_url,source_type,verified_as_of,notes
COMP_WAN_HAI,Wan Hai,22AA,170,WAN HAI 101,9493298,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Port Klang,Penang,,,https://www.fluentcargo.com/carriers/scac/22AA,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
COMP_WAN_HAI,Wan Hai,22AA,170,WAN HAI 177,9555137,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Laem Chabang,Bangkok,,,https://www.fluentcargo.com/carriers/scac/22AA,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
COMP_WAN_HAI,Wan Hai,22AA,170,WAN HAI 283,9871311,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Kaohsiung,Taichung,,,https://www.fluentcargo.com/carriers/scac/22AA,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
COMP_WAN_HAI,Wan Hai,22AA,170,WAN HAI 333,9951379,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Laem Chabang,Shekou,,,https://www.fluentcargo.com/carriers/scac/22AA,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
COMP_WAN_HAI,Wan Hai,22AA,170,WAN HAI 358,9554080,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Hong Kong,Singapore,,,https://www.fluentcargo.com/carriers/scac/22AA,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
