Entity ID,Entity Type,Canonical Name,Country,Parent Entity ID,Status
YARD_0008,Shipyard,Hudong-Zhonghua Shipbuilding,China,,Active
YARD_0009,Shipyard,Jingling Shipyard,China,,Active
YARD_0010,Shipyard,International Maritime Industries (IMI),Saudi Arabia,,Active
YARD_0011,Shipyard,China Merchants Jinling Shipyard (Jiangsu) Co Ltd,China,,Active
YARD_0012,Shipyard,China Merchants Heavy Industry (Jiangsu) Co Ltd,China,,Active
YARD_0013,Shipyard,Guangzhou Shipyard International,China,,Active
YARD_0014,Shipyard,CIMC Raffles / Yantai Raffles,China,,Active
YARD_0015,Shipyard,Zhoushan Changhong International Shipyard,China,,Active
YARD_0016,Shipyard,Hyundai Mipo Dockyard,South Korea,,Active
YARD_0017,Shipyard,Jiangsu Zhenjiang Shipyard,China,,Active
YARD_0018,Shipyard,Wenchong Shipyard,China,,Active
YARD_0019,Shipyard,Fujian Mawei Shipbuilding,China,,Active
YARD_0020,Shipyard,Taizhou Kouan Shipbuilding,China,,Active
YARD_0021,Shipyard,Volkswerft Stralsund,Germany,,Active
YARD_0022,Shipyard,Murakami Hide Shipyard,Japan,,Active
YARD_0023,Shipyard,Sungdong Shipbuilding & Marine Engineering,South Korea,,Active
YARD_0024,Shipyard,Kyokuyo Shipyard,Japan,,Active
YARD_0025,Shipyard,Fukuoka Shipbuilding,Japan,,Active
YARD_0026,Shipyard,Usuki Shipyard,Japan,,Active
VESSEL_00001,Vessel,UGR Al Samha,,COMP_UGR,Operating
VESSEL_00002,Vessel,UGR Zakher,,COMP_UGR,Operating
VESSEL_00003,Vessel,UGR Al Reef,,COMP_UGR,Operating
VESSEL_00004,Vessel,Al Jubail,,COMP_UGR,Operating
VESSEL_00005,Vessel,Ramhan,,COMP_UGR,Operating
VESSEL_00006,Vessel,UGR Arabian Gulf,,COMP_UGR,Operating
VESSEL_00007,Vessel,Erk İzmir,,COMP_UGR,Operating
VESSEL_00008,Vessel,Abu Samrah,,COMP_UGR,Operating
VESSEL_00009,Vessel,UGR İstanbul,,COMP_UGR,Operating
VESSEL_00010,Vessel,Saffet Bey,,COMP_UGR,Operating
VESSEL_00011,Vessel,Super Fast Baleares,,COMP_UGR,Operating
VESSEL_00012,Vessel,Chang Sheng Hong,,COMP_UGR,Operating
VESSEL_00013,Vessel,JINANAH,,COMP_UGR,Operating
VESSEL_00014,Vessel,SDERIA,,COMP_UGR,Operating
VESSEL_00015,Vessel,CMA CGM MONTE CRISTO,,COMP_CMA_CGM,Operating
VESSEL_00016,Vessel,Al Sadaf,,COMP_ADNOC_LS,Operating
VESSEL_00017,Vessel,Arada,,COMP_ADNOC_LS,Operating
VESSEL_00018,Vessel,Al Taweelah,,COMP_ADNOC_LS,Operating
VESSEL_00019,Vessel,Al Hamra,,COMP_ADNOC_LS,Operating
VESSEL_00020,Vessel,Al Rahba,,COMP_ADNOC_LS,Operating
VESSEL_00021,Vessel,Al Reef,,COMP_ADNOC_LS,Operating
VESSEL_00022,Vessel,Al Shelila,,COMP_ADNOC_LS,Operating
VESSEL_00023,Vessel,Ish (FSU),,COMP_ADNOC_LS,Operating / FSU
VESSEL_00024,Vessel,Mraweh,,COMP_ADNOC_LS,Operating
VESSEL_00025,Vessel,Mubaraz,,COMP_ADNOC_LS,Operating
VESSEL_00026,Vessel,Shahamah,,COMP_ADNOC_LS,Operating
VESSEL_00027,Vessel,Umm Al Ashtan,,COMP_ADNOC_LS,Operating
VESSEL_00028,Vessel,Ruwais LNG H2711,,COMP_ADNOC_LS,On order / newbuild
VESSEL_00029,Vessel,Ruwais LNG H2712,,COMP_ADNOC_LS,On order / newbuild
VESSEL_00030,Vessel,Ruwais LNG H2713,,COMP_ADNOC_LS,On order / newbuild
VESSEL_00031,Vessel,Ruwais LNG H2714,,COMP_ADNOC_LS,On order / newbuild
VESSEL_00032,Vessel,Ruwais LNG H2598,,COMP_ADNOC_LS,On order / newbuild
VESSEL_00033,Vessel,Ruwais LNG H2599,,COMP_ADNOC_LS,On order / newbuild
VESSEL_00034,Vessel,Ruwais LNG H2600,,COMP_ADNOC_LS,On order / newbuild
VESSEL_00035,Vessel,Ruwais LNG H2601,,COMP_ADNOC_LS,On order / newbuild
VESSEL_00036,Vessel,Al Maryah,,COMP_ADNOC_LS,Operating
VESSEL_00037,Vessel,AWS-Delma,,COMP_AW_SHIPPING,Operating
VESSEL_00038,Vessel,AWS-Al Ain,,COMP_AW_SHIPPING,Operating
VESSEL_00039,Vessel,AWS-Zakher,,COMP_AW_SHIPPING,Operating
VESSEL_00040,Vessel,AWS-Rabdan,,COMP_AW_SHIPPING,Operating
VESSEL_00041,Vessel,AWS-Al Salam,,COMP_AW_SHIPPING,Operating
VESSEL_00042,Vessel,AWS-Baynounah,,COMP_AW_SHIPPING,Operating
VESSEL_00043,Vessel,Meera,,COMP_AW_SHIPPING,Newbuild / delivery program
VESSEL_00044,Vessel,Dana,,COMP_AW_SHIPPING,Newbuild / delivery program
VESSEL_00045,Vessel,Al Ghadeer,,COMP_AW_SHIPPING,Newbuild / delivery program
VESSEL_00046,Vessel,Rimah,,COMP_AW_SHIPPING,Newbuild / delivery program
