Vessel ID,Vessel Name,IMO,Owner Company ID,Operator Company ID,Vessel Type,Subtype / Class,Flag,Year Built,DWT,Capacity,Ramp Capacity,Free Height,Home Port,Primary Service,Fuel / Propulsion,Status,Source ID,Completeness Note,Gross Tonnage (GT),Net Tonnage (NT),LOA (m),Beam (m),MMSI,Call Sign,Registered Owner (Legal),Technical / ISM Manager
VESSEL_00026,Shahamah,9035852,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,,,,,"135,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00027,Umm Al Ashtan,9074652,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,,,,,"137,000 m3",,,,,LNG carrier / new-generation gas shipping,Operating,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00028,Ruwais LNG H2711,,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,Samsung Heavy Industries hull H2711,,,,"174,000 m3",,,,,LNG carrier / new-generation gas shipping,On order / newbuild,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00029,Ruwais LNG H2712,,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,Samsung Heavy Industries hull H2712,,,,"174,000 m3",,,,,LNG carrier / new-generation gas shipping,On order / newbuild,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00030,Ruwais LNG H2713,,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,Samsung Heavy Industries hull H2713,,,,"174,000 m3",,,,,LNG carrier / new-generation gas shipping,On order / newbuild,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00031,Ruwais LNG H2714,,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,Samsung Heavy Industries hull H2714,,,,"174,000 m3",,,,,LNG carrier / new-generation gas shipping,On order / newbuild,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00032,Ruwais LNG H2598,,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,Hanwha Ocean hull H2598,,,,"174,000 m3",,,,,LNG carrier / new-generation gas shipping,On order / newbuild,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00033,Ruwais LNG H2599,,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,Hanwha Ocean hull H2599,,,,"174,000 m3",,,,,LNG carrier / new-generation gas shipping,On order / newbuild,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00034,Ruwais LNG H2600,,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,Hanwha Ocean hull H2600,,,,"174,000 m3",,,,,LNG carrier / new-generation gas shipping,On order / newbuild,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00035,Ruwais LNG H2601,,COMP_ADNOC_LS,COMP_ADNOC_LS,LNG carrier,Hanwha Ocean hull H2601,,,,"174,000 m3",,,,,LNG carrier / new-generation gas shipping,On order / newbuild,SRC_0066,ADNOC L&S official fleet sheet; IMO and build year to be enriched.,,,,,,,,
VESSEL_00036,Al Maryah,9393682,COMP_ADNOC_LS,COMP_ADNOC_LS,VLGC,,,,,"83,700 m3",,,,,,Operating,SRC_0066,Fleet-sheet capacity; ownership/operation assigned to AW Shipping where explicitly supported.,,,,,,,,
VESSEL_00037,AWS-Delma,9719408,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLGC,,,,,"84,000 m3",,,,,,Operating,SRC_0066,Fleet-sheet capacity; ownership/operation assigned to AW Shipping where explicitly supported.,,,,,,,,
VESSEL_00038,AWS-Al Ain,9916812,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLGC,,,,,"86,000 m3",,,,,LPG dual fuel,Operating,SRC_0066,Fleet-sheet capacity; ownership/operation assigned to AW Shipping where explicitly supported.,,,,,,,,
VESSEL_00039,AWS-Zakher,9916824,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLGC,,,,,"86,000 m3",,,,,LPG dual fuel,Operating,SRC_0066,Fleet-sheet capacity; ownership/operation assigned to AW Shipping where explicitly supported.,,,,,,,,
VESSEL_00040,AWS-Rabdan,9916836,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLGC,,,,,"86,000 m3",,,,,LPG dual fuel,Operating,SRC_0066,Fleet-sheet capacity; ownership/operation assigned to AW Shipping where explicitly supported.,,,,,,,,
VESSEL_00041,AWS-Al Salam,9923085,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLGC,,,,,"86,000 m3",,,,,LPG dual fuel,Operating,SRC_0066,Fleet-sheet capacity; ownership/operation assigned to AW Shipping where explicitly supported.,,,,,,,,
VESSEL_00042,AWS-Baynounah,9923097,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLGC,,,,,"86,000 m3",,,,,LPG dual fuel,Operating,SRC_0066,Fleet-sheet capacity; ownership/operation assigned to AW Shipping where explicitly supported.,,,,,,,,
VESSEL_00043,Meera,1066908,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLAC,Hull H2749,,,,"93,000 m3",,,,,,Newbuild / delivery program,SRC_0066,AW Shipping VLAC program; delivery/status requires periodic refresh.,,,,,,,,
VESSEL_00044,Dana,,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLAC,Hull H2750,,,,"93,000 m3",,,,,,Newbuild / delivery program,SRC_0066,AW Shipping VLAC program; delivery/status requires periodic refresh.,,,,,,,,
VESSEL_00045,Al Ghadeer,,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLAC,Hull H2769,,,,"93,000 m3",,,,,,Newbuild / delivery program,SRC_0066,AW Shipping VLAC program; delivery/status requires periodic refresh.,,,,,,,,
VESSEL_00046,Rimah,,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLAC,Hull H2770,,,,"93,000 m3",,,,,,Newbuild / delivery program,SRC_0066,AW Shipping VLAC program; delivery/status requires periodic refresh.,,,,,,,,
VESSEL_00047,Umm Al Lulu I,9494204,COMP_ADNOC_LS,COMP_ADNOC_LS,Product / chemical tanker,,,,15200,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00048,Al Samha,9380324,COMP_ADNOC_LS,COMP_ADNOC_LS,Product / chemical tanker,,,,17500,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00049,Bani Yas,9487249,COMP_ADNOC_LS,COMP_ADNOC_LS,Product / chemical tanker,,,,74900,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00050,Diyyinah I,9487251,COMP_ADNOC_LS,COMP_ADNOC_LS,Product / chemical tanker,,,,75000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00051,Mezaira'a,9487275,COMP_ADNOC_LS,COMP_ADNOC_LS,Product / chemical tanker,,,,74900,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00052,Yamilah-III,9487263,COMP_ADNOC_LS,COMP_ADNOC_LS,Product / chemical tanker,,,,74900,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00053,Navig8 Honor,9556181,COMP_NAVIG8,COMP_NAVIG8,Product / chemical tanker,,,,75000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00054,Navig8 Martinez,9482847,COMP_NAVIG8,COMP_NAVIG8,Product / chemical tanker,,,,76500,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00055,Navig8 Messi,9482859,COMP_NAVIG8,COMP_NAVIG8,Product / chemical tanker,,,,75600,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00056,Navig8 Montiel,9482861,COMP_NAVIG8,COMP_NAVIG8,Product / chemical tanker,,,,70000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00057,Abu Dhabi-III,9489027,COMP_ADNOC_LS,COMP_ADNOC_LS,Crude / product tanker,,,,105100,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00058,Liwa V,9489039,COMP_ADNOC_LS,COMP_ADNOC_LS,Crude / product tanker,,,,105200,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00059,Al Bateen,9828376,COMP_ADNOC_LS,COMP_ADNOC_LS,Crude / product tanker,,,,114700,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00060,Al Falah,9828388,COMP_ADNOC_LS,COMP_ADNOC_LS,Crude / product tanker,,,,114800,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00061,Al Ruwais,9828405,COMP_ADNOC_LS,COMP_ADNOC_LS,Crude / product tanker,,,,114700,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00062,Al Khtam,9823534,COMP_ADNOC_LS,COMP_ADNOC_LS,Crude / product tanker,,,,114600,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00063,Yong Jiang (Gas Yongjiang),1013834,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLEC,Hull H2724,,,,"99,000 m3",,,,,,Delivered / operating,SRC_0066,AW Shipping ethane-carrier fleet / program.,,,,,,,,
VESSEL_00064,Min Jiang,1013846,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLEC,Hull H2725,,,,"99,000 m3",,,,,,Newbuild / delivery program,SRC_0066,AW Shipping ethane-carrier fleet / program.,,,,,,,,
VESSEL_00065,Al Bayraq,,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLEC,Hull H2828,,,,"99,000 m3",,,,,,Newbuild / delivery program,SRC_0066,AW Shipping ethane-carrier fleet / program.,,,,,,,,
VESSEL_00066,Alhosn,,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLEC,Hull H2829,,,,"99,000 m3",,,,,,Newbuild / delivery program,SRC_0066,AW Shipping ethane-carrier fleet / program.,,,,,,,,
VESSEL_00067,Al Aryam,,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLEC,Hull H2823,,,,"99,000 m3",,,,,,Newbuild / delivery program,SRC_0066,AW Shipping ethane-carrier fleet / program.,,,,,,,,
VESSEL_00068,Al Saad,,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLEC,Hull H2830,,,,"99,000 m3",,,,,,Newbuild / delivery program,SRC_0066,AW Shipping ethane-carrier fleet / program.,,,,,,,,
VESSEL_00069,Al Muzn,,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLEC,Hull H2825,,,,"99,000 m3",,,,,,Newbuild / delivery program,SRC_0066,AW Shipping ethane-carrier fleet / program.,,,,,,,,
VESSEL_00070,Al Taair,,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLEC,Hull H2831,,,,"99,000 m3",,,,,,Newbuild / delivery program,SRC_0066,AW Shipping ethane-carrier fleet / program.,,,,,,,,
VESSEL_00071,Al Sila,,COMP_AW_SHIPPING,COMP_AW_SHIPPING,VLEC,Hull H2827,,,,"99,000 m3",,,,,,Newbuild / delivery program,SRC_0066,AW Shipping ethane-carrier fleet / program.,,,,,,,,
VESSEL_00072,Janana,9034236,COMP_ADNOC_LS,COMP_ADNOC_LS,Molten sulphur carrier,,,,,"9,400",,,,,,Operating,SRC_0066,Capacity unit as published on fleet sheet; verify unit during enrichment.,,,,,,,,
VESSEL_00073,ADNOC L&S molten sulphur newbuild,,COMP_ADNOC_LS,COMP_ADNOC_LS,Molten sulphur carrier,N/B Jiangsu Zhenjiang Shipyard,,,,"11,000",,,,,,On order / newbuild,SRC_0066,Unnamed newbuild on official fleet sheet.,,,,,,,,
VESSEL_00074,Jarnain,9823546,COMP_ADNOC_LS,COMP_ADNOC_LS,LR2 tanker,,,,114800,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00075,Tarif,9828390,COMP_ADNOC_LS,COMP_ADNOC_LS,LR2 tanker,,,,114800,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00076,Navig8 Precision,9831294,COMP_NAVIG8,COMP_NAVIG8,LR2 tanker,,,,110000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00077,Navig8 Prestige,9831309,COMP_NAVIG8,COMP_NAVIG8,LR2 tanker,,,,110000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00078,Navig8 Perseverance,9853266,COMP_NAVIG8,COMP_NAVIG8,LR2 tanker,,,,110000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00079,Navig8 Passion,9853278,COMP_NAVIG8,COMP_NAVIG8,LR2 tanker,,,,110000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00080,Navig8 Promise,9791298,COMP_NAVIG8,COMP_NAVIG8,LR2 tanker,,,,110000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00081,Navig8 Prosperity,9855496,COMP_NAVIG8,COMP_NAVIG8,LR2 tanker,,,,110000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00082,Navig8 Pride LHJ,9947366,COMP_NAVIG8,COMP_NAVIG8,LR2 tanker,,,,110000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00083,Navig8 Wolf,9935301,COMP_NAVIG8,COMP_NAVIG8,LR2 tanker,,,,110000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00084,Navig8 Providence,9947378,COMP_NAVIG8,COMP_NAVIG8,LR2 tanker,,,,110000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00085,Leicester,9792266,COMP_ADNOC_LS,COMP_ADNOC_LS,VLCC,,,,300000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00086,Hili,9851830,COMP_ADNOC_LS,COMP_ADNOC_LS,VLCC,,,,300000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00087,Zakum,9851842,COMP_ADNOC_LS,COMP_ADNOC_LS,VLCC,,,,300000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00088,Barakah,9902615,COMP_ADNOC_LS,COMP_ADNOC_LS,VLCC,,,,307900,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00089,Hafeet,9928009,COMP_ADNOC_LS,COMP_ADNOC_LS,VLCC,,,,300000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00090,Habshan,9928011,COMP_ADNOC_LS,COMP_ADNOC_LS,VLCC,,,,300000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00091,Arzanah,9928023,COMP_ADNOC_LS,COMP_ADNOC_LS,VLCC,,,,300000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00092,Al Bahyah,9937799,COMP_ADNOC_LS,COMP_ADNOC_LS,VLCC,,,,300000,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet.,,,,,,,,
VESSEL_00093,Navig8 Universe,9489106,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,45300,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00094,Navig8 Constellation,9489118,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,45300,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00095,Navig8 Grace,9833656,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49800,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00096,Navig8 Gallantry,9833668,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49800,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00097,Navig8 Guard,9833670,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49800,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00098,Navig8 Guide,9833682,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49800,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00099,Navig8 Goal,9853216,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49800,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00100,Navig8 Gauntlet,9853228,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49800,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00101,Navig8 Gladiator,9853230,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49800,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00102,Navig8 Gratitude,9853242,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49800,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00103,Navig8 Excel,9973901,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49100,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00104,Navig8 Exceed,9973913,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49200,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00105,Navig8 Express,9976874,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49200,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00106,Navig8 Excellence,9976886,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49200,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00107,Navig8 Estelle,9973925,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49200,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00108,Navig8 Executive,9973937,COMP_NAVIG8,COMP_NAVIG8,MR2 tanker,,,,49100,,,,,,,Operating,SRC_0066,ADNOC L&S fleet sheet / Navig8.,,,,,,,,
VESSEL_00109,BYD Explorer No.1,9955181,COMP_ZODIAC,,PCTC,,,2024,,"7,000 CEU",,,,,LNG dual-fuel,Operating,SRC_0091,Chartered by BYD; built by CIMC Raffles / Yantai Raffles.,,,,,,,,
VESSEL_00110,BYD Changzhou,9955076,COMP_ZODIAC,,PCTC,,,2024,,"7,000 CEU",,,,,LNG dual-fuel,Operating,SRC_0091,Chartered by BYD; built by CIMC Raffles / Yantai Raffles.,,,,,,,,
VESSEL_00111,BYD Hefei,9999565,COMP_BYD,COMP_BYD,PCTC,,,2025,,"7,000 CEU",,,,,LNG dual-fuel,Operating,SRC_0091,First BYD-owned PCTC; built by Guangzhou Shipyard International.,,,,,,,,
VESSEL_00112,BYD Zhengzhou,9999577,COMP_BYD,COMP_BYD,PCTC,,,2025,,"7,000 CEU",,,,,LNG dual-fuel,Operating,SRC_0091,BYD-owned sister to BYD Hefei; built by Guangzhou Shipyard International.,,,,,,,,
VESSEL_00113,BYD Shenzhen,9993963,COMP_BYD,COMP_BYD,PCTC,,,2025,,"9,200 CEU",,,,,LNG dual-fuel + battery,Operating,SRC_0092,"BYD-owned 9,200 CEU class.",,,,,,,,
VESSEL_00114,BYD Xi'an,9993975,COMP_BYD,COMP_BYD,PCTC,,,2025,,"9,200 CEU",,,,,LNG dual-fuel + battery,Operating,SRC_0095,"BYD-owned 9,200 CEU class.",,,,,,,,
VESSEL_00115,BYD Changsha,9993949,COMP_BYD,COMP_BYD,PCTC,,,2025,,"9,200 CEU",,,,,LNG dual-fuel + battery,Operating,SRC_0093,"BYD-owned 9,200 CEU class.",,,,,,,,
VESSEL_00116,BYD Jinan,9993951,COMP_BYD,COMP_BYD,PCTC,,,2025,,"9,200 CEU",,,,,LNG dual-fuel + battery,Operating,SRC_0094,"BYD-owned 9,200 CEU class.",,,,,,,,
VESSEL_00117,SINOKOR NIIGATA,9209908,COMP_SINOKOR,COMP_SINOKOR,Containership,Japan / Murakami Hide,Korea,1999,8515,550 TEU,,,,,,Operating,SRC_0102,SINOKOR official vessel-information page; technical fields are partial where the public page extract was not fully captured.,,,,,,,,
VESSEL_00118,MEREDITH VICTORY,9455959,COMP_SINOKOR,COMP_SINOKOR,Bulker / Cape,Korea / Hyundai HI,Korea,2009,179362,,,,,,,Operating,SRC_0102,SINOKOR official vessel-information page; technical fields are partial where the public page extract was not fully captured.,,,,,,,,
