Ownership ID,Terminal ID,Company ID,Company / Partner,Relationship,Equity %,Operating Control,Status,Details,Source URL
OWN00143,TERM0139,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00144,TERM0140,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00145,TERM0141,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00146,TERM0142,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00147,TERM0143,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00148,TERM0144,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00149,TERM0145,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00150,TERM0146,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00151,TERM0147,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00152,TERM0148,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00153,TERM0149,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00154,TERM0150,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00155,TERM0151,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00156,TERM0151,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00157,TERM0152,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00158,TERM0153,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00159,TERM0154,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00160,TERM0155,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00161,TERM0155,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,51% Terminal Link Miami / 49% APM Terminals,https://www2.apmterminals.com/en/miami/about/our-terminal
OWN00162,TERM0156,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00163,TERM0157,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,Yes,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00164,TERM0158,COMP_TIL,MPET,Operator / portfolio relationship,,Yes,Current / see source,JV between PSA and TiL,https://www.tilgroup.com/our-terminals/antwerp.html
OWN00165,TERM0159,COMP_TIL,TTI,Operator / portfolio relationship,,Yes,Current / see source,TiL portfolio,https://www.tilgroup.com/our-terminals/long-beach.html
OWN00166,TERM0160,COMP_TIL,MPAT,Operator / portfolio relationship,,Yes,Current / see source,JV between PSA and TiL,https://www.tilgroup.com/our-terminals/pasir.html
OWN00167,TERM0161,COMP_TIL,NCT,Operator / portfolio relationship,,Yes,Current / see source,TiL portfolio,https://tilgroup.com/our-terminals/king-abdullah.html
OWN00168,TERM0162,COMP_TIL,Portonave,Operator / portfolio relationship,,Yes,Current / see source,Part of TiL group,https://www.tilgroup.com/our-terminals/navegantes.html
OWN00169,TERM0163,COMP_TIL,MSC Terminal Valencia,Operator / portfolio relationship,,Yes,Current / see source,TiL portfolio,https://www.tilgroup.com/our-terminals/valencia.html
OWN00170,TERM0164,COMP_TIL,Terminaux de Normandie,Operator / portfolio relationship,,Yes,Current / see source,MSC/TiL portfolio,https://tilgroup.com/our-terminals/havre.html
OWN00171,TERM0165,COMP_TIL,LCT,Operator / portfolio relationship,,Yes,Current / see source,TiL-developed 35-year concession,https://www.tilgroup.com/our-terminals/lome.html
OWN00172,TERM0166,COMP_TIL,PNCT,Operator / portfolio relationship,,Yes,Current / see source,TiL investment/operation,https://spctmd.com/about/
OWN00173,TERM0167,COMP_TIL,PET,Operator / portfolio relationship,,Yes,Current / see source,TiL investment/operation,https://spctmd.com/about/
OWN00174,TERM0168,COMP_TIL,NOT,Operator / portfolio relationship,,Yes,Current / see source,TiL investment/operation,https://spctmd.com/about/
OWN00175,TERM0169,COMP_TIL,Houston Terminal / Bayport,Operator / portfolio relationship,,Yes,Current / see source,TiL investment/operation,https://spctmd.com/about/
OWN00176,TERM0170,COMP_TIL,Houston Terminal / Barbours Cut,Operator / portfolio relationship,,Yes,Current / see source,TiL investment/operation,https://spctmd.com/about/
OWN00177,TERM0171,COMP_TIL,LATT,Operator / portfolio relationship,,Yes,Current / see source,TiL investment/operation,https://spctmd.com/about/
OWN00178,TERM0172,COMP_TIL,SSATS T18,Operator / portfolio relationship,,Yes,Current / see source,TiL investment/operation,https://spctmd.com/about/
OWN00179,TERM0173,COMP_TIL,SSATS T5,Operator / portfolio relationship,,Yes,Current / see source,TiL investment/operation,https://spctmd.com/about/
