Warning,Date,UKMTO Classification,Analytical Classification,Port Relevance,Summary / Latest Update,Has Update,Latest Update No.,Confidence,Uploaded Source File
028-26,2026-03-30,Suspicious Activity,Conflict / maritime security attack,Near-port / approaches,"UKMTO has received a report of an incident 22NM northeast of RAS TANURA Saudi Arabia. The CSO of the Container Vessel reported 2 unknown projectiles splashing in close proximity, each occurring within 1 hour of each other. The crew are reported as safe. Authorities are investigating.",No,,High,20260330_UKMTO_WARNING_028_26-SUSPICIOUS ACTIVITY.pdf
029-26,2026-03-30,Suspicious Activity,Conflict / maritime security attack,Offshore / regional maritime,"UKMTO has received a report of an incident 31NM northwest of Dubai, United Arab Emirates. The Company Security Officer reported an unknown projectile had struck their tanker on the starboard side causing a fire to the vessel. The crew are accounted for and safe. No environmental impact has been reported. Update 001: The CSO has confirmed the fire is extinguished, and there are no environmental implications resulting from the strike. UKMTO are unable to determine the source of the projectile and continue to investigate",Yes,001,High,20260331_UKMTO_WARNING_029_26_UPDATE 001.pdf
030-26,2026-03-31,Suspicious Activity,Conflict / maritime security attack,Near-port / approaches,"UKMTO has received a report of an incident 17NM north of Ras Laffan, Qatar. The Company Security Officer reported the tanker has been hit by unknown projectile on the port side causing damage to the hull above water line. The crew are reported as safe. There is no environmental impact. Authorities are investigating. UPDATE 001: UKMTO can confirm the vessel was struck by two projectiles. One caused a fire which has since been extinguished. The other remains unexploded within the vessels engine room and is being investigated by the relevant authorities. UKMTO are unable to confirm the source of the projectiles and",Yes,001,High,20260331_UKMTO_WARNING_030_26-UPDATE_001.pdf
031-26,2026-04-05,Suspicious Activity,Conflict / maritime security attack,Port-side,"UKMTO has received a report of an incident in Khor Fakkan Port, United Arab Emirates. The Master reports witnessing multiple splashes from unknown projectiles, in close proximity of his container ship, whilst alongside conducting loading operations.",No,,High,20260405_UKMTO_WARNING_031_26.pdf
032-26,2026-04-07,Attack,Conflict / maritime security attack,Offshore / regional maritime,"UKMTO has received a time late report of an incident 25NM south of Kish Island, Iran. The container vessel was struck by an unknown projectile which has caused damage above the waterline. The crew are safe and accounted for. No environmental impact has been reported. Authorities are investigating.",No,,High,20260407_UKMTO_WARNING_032_26.pdf
034-26,2026-04-12,Suspicious Activity,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,"UKMTO has received a report of an incident 54NM southwest of Al Hudaydah, Yemen. A sailing vessel was approached by a skiff with approximately 10-12 people on board, 4-5 of whom were armed with automatic weapons. The crew requested that the sailing vessel stopped and when the Master refused they attempted to pull the skiff alongside the sailing vessel to board. The Master deployed a flare and the skiff turned away and departed to the southeast. Authorities are investigating.",No,,Medium,20260412_UKMTO_WARNING_034-26.pdf
036-26,2026-04-07,Attack,Conflict / maritime security attack,Offshore / regional maritime,"UKMTO has received a report of an incident on 07 Apr 26, 112NM southeast of Ras Al Hadd, Oman. The Master of a Bulk Carrier reported to authorities that his vessel was struck by two unidentified projectiles resulting in a fire onboard. A Pakistan Naval vessel rendered assistance and the incident is now reported complete. This UKMTO warning complements JMICC Pakistan Alert 94/26 Ras Al Hadd, Oman",No,,High,20260414-UKMTO_WARNING_036-26.pdf
037-26,2026-04-18,Attack,State/security seizure or attack,Offshore / regional maritime,"UKMTO has received a report of an incident 20NM northeast of OMAN. The Master of a Tanker reports being approached by 2 IRGC gun boats, no VHF challenge that then fired upon the tanker. Tanker and crew are reported safe. Authorities are investigating. Oman",No,,High,20260418 - UKMTO_WARNING_037_26.pdf
038-26,2026-04-18,Attack,Conflict / maritime security attack,Offshore / regional maritime,"UKMTO has received a report of an incident 25NM northeast of OMAN. A report of a Container Ship being hit by an unknown projectile which caused damage to some of the containers, no fires or environment impact reported. Authorities are investigating.",No,,High,20260418-WARNING_038_26_ATTACK.pdf
039-26,2026-04-18,Suspicious Activity,Suspicious / security incident,Offshore / regional maritime,UKMTO has received a report of an incident 3NM east of OMAN. The Master of a Cruise ship reported sighting a splash in close proximity of the vessel.,No,,Medium,20260418-WARNING_039_26 _SUSPICIOUS ACTIVITY.pdf
041-26,2026-04-22,Attack,State/security seizure or attack,Offshore / regional maritime,"UKMTO has received a report of an incident 15NM northeast of OMAN. The Master of a Container Ship reported that the vessel was approached by 1 IRGC gun boat, no VHF challenge that then fired upon the vessel which has caused heavy damage to the bridge. No fires or environmental impact reported. All Crew reported safe.",No,,High,20260422-UKMTO_WARNING_ATTACK.pdf
043-26,2026-04-22,Attack,Conflict / maritime security attack,Offshore / regional maritime,UKMTO has received a report of an incident 8NM west of Iran. A master of an outbound cargo ship reports having been fired upon and is now stopped in the water. Crew are safe and accounted for. There is no reported damage to the vessel. UKMTO is aware of high levels of activity in the SoH area and encourages vessels to report any suspicious activity. Iran,No,,High,20260422-UKMTO_WARNING_043-26.pdf
044-26,2026-04-23,Suspicious Activity,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,"UKMTO has received a report of an incident 83NM southeast of Eyl, Somalia. The Master of a cargo ship was approached by 2 small craft with armed persons onboard. One small craft approached within 600m, warning shots were fired and the suspicious craft returned fire. The suspicious small craft moved away and made clear of the reporting cargo ship. All crew are safe and accounted for.",No,,High,20260423-UKMTO_WARNING-044-26.pdf
045-26,2026-04-21,Suspicious Activity,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,"UKMTO has received a report of an incident 45NM northeast of Mareeyo, Somalia. Military Authorities have reported unauthorised persons taking control of the tanker and manoeuvring the vessel 77NM south within Somali territorial waters. The vessels last known position was 0856N 05032E. UKMTO will continue to monitor.",No,,High,20260424-UKMTO_WARNING_045-26.pdf
046-26,2026-04-26,Suspicious Activity,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,"UKMTO has received a report of an incident 6NM North East of Garacad, Somalia. It has been reported that unauthorised persons have taken control of a cargo vessel which has been re-directed to within territorial waters. Due to the increased threat of possible PAG activity, vessels are advised to transit with caution and report any suspicious activity to UKMTO while authorities investigate. Garacad, Somalia",No,,High,20260426-UKMTO_WARNING_046-26.pdf
047-26,2026-04-28,Suspicious Activity,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,"UKMTO has received a report of an incident 500NM east of Mogadishu, Somalia. The Master of a tanker was approached by a PAG whilst transiting south through the Indian Ocean. A larger wooden vessel crossed ahead of the tanker at 1nm. The Master then reported that two additional craft approached from the starboard side and closed to within 400 meters. Upon sighting the vessels armed sentries, both small craft and the mothership turned away. Due to the increased threat of possible PAG activity, vessels are advised to transit with caution and report any suspicious activity to UKMTO while authorities investigate.",No,,High,20260428-UKMTO_WARNING_SUSPICIOUS ACTIVITY_047-26.pdf
048-26,2026-05-01,Suspicious Activity,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,"UKMTO has received a report of an incident within the IRTC, 92NM southwest of Al Mukalla, Yemen. The Master of bulk carrier has reported being approached by a skiff with a black hull carrying seven armed persons.",No,,High,20260501-UKMTO_WARNING_SUSPICIOUS_ACTIVITY-048-26.pdf
049-26,2026-05-02,Suspicious Activity,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,"UKMTO has received a report of a suspicious approach 84NM southwest of Al Mukalla, Yemen. The Master of a bulk carrier has reported being approached to within 500 metres by 1 green hulled skiff which was accompanied by 1 white fishing vessel.",No,,High,20260502-UKMTO_WARNING_049-26_SUSPICIOUS_ACTIVITY (1).pdf
050-26,2026-05-03,Attack,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,"UKMTO has received a report of an incident 11NM west of Sirik, Iran. The Master of a northbound bulk carrier has reported being attacked by multiple small craft. All crew reported safe and no environmental impact reported.",No,,Medium,20260503-UKMTO_WARNING_ATTACK-050-26.pdf
052-26,2026-05-03,Attack,Conflict / maritime security attack,Offshore / regional maritime,UKMTO has received a report of an incident 78NM north of Fujairah. United Arab Emirates. A tanker has reported being hit by unknown projectiles. All crew reported safe. No environmental impact reported. Authorities are investigating.,No,,High,20260503-UKMTO_WARNING_ATTACK_052-26.pdf
053-26,2026-05-04,Suspicious Activity,Marine casualty / fire,Offshore / regional maritime,"UKMTO has received a report of an incident 36NM north of Dubai, United Arab Emirates. The cargo vessel reported a fire in the engine room, the cause of the fire is unknown at this time. All crew are safe and accounted for. Authorities are investigating.",No,,Medium,20260504-UKMTO_WARNING_053-26.pdf
054-26,2026-05-04,Suspicious Activity,Marine casualty / fire,Near-port / approaches,"UKMTO has received a report of an incident 14NM west of Mina Saqr, United Arab Emirates. UKMTO received information from a third party that a vessel was on fire and requesting vessels in the vicinity to keep a safe distance from them. The cause of the fire has not been verified at this time No environmental impact reported Authorities are investigating.",No,,Medium,20260504-UKMTO_WARNING_054-26.pdf
055-26,2026-05-05,Attack,Conflict / maritime security attack,Offshore / regional maritime,UKMTO has received a report of an incident within the Strait of Hormuz. A verified source reported a cargo vessel has been struck by an unknown projectile. Environmental impact is unknown at time of report.,No,,High,20260505-UKMTO_WARNING_055-26.pdf
056-26,2026-05-10,Attack,Conflict / maritime security attack,Near-port / approaches,"UKMTO has received a report of an incident 23NM northeast of DOHA, QATAR. The Master of a Bulk Carrier reports being hit by an unknown projectile. There was a small fire that has been extinguished, there are no casualties. There is no reported environmental impact. Authorities are investigating.",No,,High,20260510-UKMTO_056_26_WARNING_ATTACK.pdf
057-26,2026-05-14,Suspicious Activity,State/security seizure or attack,Anchorage / port approaches,"UKMTO has received a report of an incident 38NM northeast of Fujairah, United Arab Emirates. The CSO has reported that the vessel has been taken by unauthorised personnel whist at anchor and is now bound for Iranian Territorial Waters. UKMTO continue to investigate.",No,,High,20260514-UKMTO_057_26_WARNING_SUSPICIOUS ACTIVITY.pdf
059-26,2026-05-22,Suspicious Activity,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,UKMTO has received a report of an incident 98NM north of Socotra. The CSO of a tanker has confirmed that the vessel was approached by a small craft with five persons onboard. The vessels Armed Security Team fired warning shots at the small craft which forced them to alter course. Authorities are investigating.,No,,High,20260522-UKMTO-WARNING_059.pdf
060-26,2026-05-23,Suspicious Activity,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,"UKMTO has received a report of an incident within the IRTC 200NM west of Socotra. The Master of a products tanker has reported that the vessel was approached by a small craft with 5 persons onboard, closest point of approach 100m. The vessel’s Armed Security Team were deployed and the small craft altered course away from the reporting vessel.",No,,High,20260523-UKMTO-WARNING_060.pdf
062-26,2026-05-26,Attack,Conflict / maritime security attack,Offshore / regional maritime,"UKMTO has received a report of an incident 60NM east of Muscat, Oman. The Master of a Tanker reports of an external explosion, Port side aft close to the waterline. The crew and vessel are safe, although the Master reports some bunker fuel has discharged into the sea. Authorities are investigating.",No,,High,20260526-UKMTO_WARNING_062_26.pdf
063-26,2026-06-01,Attack,Conflict / maritime security attack,Offshore / regional maritime,"UKMTO has received a report of an incident 40NM southeast of Umm Qasr, Iraq. A Cargo Vessel was transiting in the Arabian Gulf when it experienced a large explosion following potential impact from an unknown projectile on the starboard side. UKMTO is unaware of any environmental impact at this time. Update 001: UKMTO has been informed of a second impact to the Cargo Vessel, resulting in a fire which has since been extinguished. No report of injuries to crew.",Yes,001,High,20260601-UKMTO_WARNING_063-UPDATE_001.pdf
064-26,2026-06-08,Suspicious Activity,Marine casualty / fire,Offshore / regional maritime,"UKMTO has received a report of an incident 15NM northeast of Masirah, Oman. A tanker has experienced a fire onboard resulting in the evacuation of crew. Omani and Indian Authorities are coordinating the response. There are no reports of environmental impact at present.",No,,Medium,20260608-UKMTO_WARNING-064-26.pdf
066-26,2026-06-10,Suspicious Activity,Marine casualty / fire,Near-port / approaches,"UKMTO has received a report of an incident 20NM northeast of Sohar, Oman. Local authorities have reported a tanker has experienced a fire in their engine room and are on the scene assisting with the evacuation of the crew. The vessel is reporting 1 casualty and 2 crew members missing. No environment impact reported. Authorities continue investigating. Sohar, Oman",No,,Medium,20260610-UKMTO_WARNING_066-26.pdf
067-26,2026-06-11,Suspicious Activity,Marine casualty / fire,Near-port / approaches,"UKMTO has received a report of an incident 21NM northeast of Sohar, Oman. Local authorities have reported a tanker has experienced a fire in the engine room. No environmental impact has been reported. Authorities continue to investigate.",No,,Medium,20260611-UKMTO_WARNING_067-26.pdf
068-26,2026-06-12,Attack,Conflict / maritime security attack,Offshore / regional maritime,UKMTO has received a report of an incident 6NM east of Oman. It is reported a Tanker was struck by an unknown projectile in the Port Bow. The Crew are reported safe and there is no reported environmental impact. The tanker is continuing to its next Port of call. Authorities are investigating.,No,,High,20260613-UKMTO_WARNING_ATTACK_068_26.pdf
069-26,2026-06-15,Attack,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,UKMTO has received a report of an incident 14NM south off the coast of Yemen. A container vessel has reported being approached by a small skiff. The crew of the small skiff opened fire on the vessel and attempted to board. Authorities are investigating.,No,,Medium,20260615-UKMTO_WARNING_ATTACK-069-26.pdf
070-26,2026-06-15,Attack,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,"UKMTO has received a report of an incident 111NM southeast of Aden, Yemen. A tanker has reported being approached by a small skiff with 4 crew. The crew of the skiff were armed and opened fire on the vessel with an RPG. Authorities are investigating.",No,,High,20260615-UKMTO_WARNING_ATTACK-070-26.pdf
071-26,2026-06-17,Attack,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,"UKMTO has received a report of an incident 105NM northeast of Aden, Yemen. A vessel has been approached to within 4 meters and fired upon by 2 skiffs with an unknown number of armed persons on board. The vessel has deployed security team and returned fire. The suspect skiffs have now disengaged and are in excess 4NM of the vessel. The crew are safe.",No,,High,20260617-UKMTO_WARNING_ATTACK-071-26 1.pdf
072-26,2026-06-21,Suspicious Activity,Piracy / armed robbery / suspicious approach,Offshore / regional maritime,"UKMTO has received a report of an incident 50NM southeast of Al-Shihr, Yemen. The Master of a product tanker reported being approached by a skiff carrying five armed persons who appeared to be attempting to board the vessel. In response, the vessel conducted evasive manoeuvres and altered course away from the skiff. Vessel is now proceeding to its next port of call. The vessel and crew are reported safe. Authorities are investigating.",No,,Medium,20260621-UKMTO_WARNING_SUSPICIOUS ACTIVITY-072-26.pdf
074-26,2026-06-25,Attack,Conflict / maritime security attack,Offshore / regional maritime,"UKMTO has received a report of an incident 7.5NM southeast of Dahit, Oman. A cargo vessel has been hit on the starboard side by an unknown projectile, causing damage to the bridge. Master has reported no casualties and no environmental impact. Authorities are investigating.",No,,High,20260625-UKMTO_WARNING_ATTACK-074-26.pdf
